posid,WHOLE BLOOD/UNS,patient
chr12-92891858,1,p304002
chr12-94339225,1,p304002
chr12-94394667,1,p304002
chr12-9676385,1,p304002
chr12-98048940,1,p304002
chr12-99850464,1,p304002
chr12+100298152,1,p304002
chr12+100323593,1,p304002
chr12+100602416,1,p304002
chr12+10109630,1,p304002
chr12+108660938,1,p304002
chr12+110627401,1,p304002
chr12+112132409,2,p304002
chr12+116121151,1,p304002
chr12+116162598,2,p304002
chr12+116217861,1,p304002
chr12+116243158,1,p304002
chr12+116259720,1,p304002
chr12+118115737,1,p304002
chr12+119740011,1,p304002
chr12+120565371,1,p304002
chr12+120808878,1,p304002
chr12+120827476,1,p304002
chr12+120866054,1,p304002
chr12+120877039,1,p304002
chr12+121201295,1,p304002
chr12+121314354,1,p304002
chr12+121328687,1,p304002
chr12+121340431,1,p304002
chr12+121347631,1,p304002
chr12+122096355,1,p304002
chr12+122519230,1,p304002
chr12+122521259,1,p304002
chr12+122565450,1,p304002
chr12+122881039,1,p304002
chr12+131180753,1,p304002
chr12+131520891,1,p304002
chr12+131965696,1,p304002
chr12+131976141,1,p304002
chr12+1320413,1,p304002
chr12+132113707,1,p304002
chr12+132809873,1,p304002
chr12+132930635,1,p304002
chr12+133083773,1,p304002
chr12+133124904,1,p304002
chr12+15889782,1,p304002
chr12+17948633,1,p304002
chr12+19237064,1,p304002
chr12+23246988,1,p304002
chr12+24312111,1,p304002
chr12+24516506,1,p304002
chr12+25217797,1,p304002
chr12+26028477,2,p304002
chr12+26361007,1,p304002
chr12+26679232,1,p304002
chr12+26948285,1,p304002
chr12+28556666,1,p304002
chr12+3969290,1,p304002
chr12+40798330,1,p304002
chr12+41883813,1,p304002
chr12+42379254,1,p304002
chr12+42419905,1,p304002
chr12+42464744,1,p304002
chr12+43803560,1,p304002
chr12+45798997,1,p304002
chr12+46396945,1,p304002
chr12+48675441,1,p304002
chr12+49683679,1,p304002
chr12+49745790,2,p304002
chr12+50007267,1,p304002
chr12+50660257,1,p304002
chr12+50671963,1,p304002
chr12+50697800,1,p304002
chr12+50792384,1,p304002
chr12+50818832,1,p304002
chr12+51134321,1,p304002
chr12+51135294,1,p304002
chr12+51161935,1,p304002
chr12+51265771,1,p304002
chr12+53390398,1,p304002
chr12+54241683,1,p304002
chr12+55804943,1,p304002
chr12+56162746,1,p304002
chr12+56525575,1,p304002
chr12+57415832,1,p304002
chr12+5937799,1,p304002
chr12+59697037,1,p304002
chr12+59701470,1,p304002
chr12+62084542,1,p304002
chr12+62318093,1,p304002
chr12+62350696,2,p304002
chr12+65203147,1,p304002
chr12+65318080,1,p304002
chr12+6574330,1,p304002
chr12+6797073,1,p304002
chr12+68659152,1,p304002
chr12+70251970,1,p304002
chr12+71885184,1,p304002
chr12+72655288,1,p304002
chr12+7478623,1,p304002
chr12+7480343,1,p304002
chr12+75368561,1,p304002
chr12+7576739,1,p304002
chr12+76055789,1,p304002
chr12+7626566,1,p304002
chr12+76477249,1,p304002
chr12+76933006,1,p304002
chr12+778239,1,p304002
chr12+79792889,1,p304002
chr12+79795956,1,p304002
chr12+806390,1,p304002
chr12+81199943,1,p304002
chr12+83068249,1,p304002
chr12+852452,1,p304002
chr12+85799038,1,p304002
chr12+85811241,1,p304002
chr12+87374997,1,p304002
chr12+88148936,1,p304002
chr12+90063741,1,p304002
chr12+90186965,1,p304002
chr12+90340604,1,p304002
chr12+91117717,1,p304002
chr12+91189797,1,p304002
chr12+92385737,2,p304002
chr12+9341953,1,p304002
chr12+9423963,1,p304002
chr12+94346395,1,p304002
chr12+94659333,1,p304002
chr12+9783666,1,p304002
chr12+9828997,1,p304002
chr13-102981584,1,p304002
chr13-104731317,1,p304002
chr13-106631819,1,p304002
chr13-113530993,1,p304002
chr13-18212169,1,p304002
chr13-20599745,1,p304002
chr13-20615270,1,p304002
chr13-27626054,1,p304002
chr13-29795402,1,p304002
chr13-32397334,1,p304002
chr13-32696798,1,p304002
chr13-32710739,1,p304002
chr13-33158921,1,p304002
chr13-35042835,1,p304002
chr13-35605300,1,p304002
chr13-37598400,1,p304002
chr13-40598070,1,p304002
chr13-40776402,1,p304002
chr13-45493618,1,p304002
chr13-46032129,2,p304002
chr13-48238993,1,p304002
chr13-48323597,1,p304002
chr13-48420329,1,p304002
chr13-48513532,1,p304002
chr13-58573793,1,p304002
chr13-59590048,1,p304002
chr13-59876083,1,p304002
chr13-61419541,1,p304002
chr13-62705342,1,p304002
chr13-65063550,1,p304002
chr13-65118593,1,p304002
chr13-67038056,1,p304002
chr13-67190054,1,p304002
chr13-67502244,1,p304002
chr13-67550661,1,p304002
chr13-75845590,1,p304002
chr13-78093159,1,p304002
chr13-79327129,1,p304002
chr13-79327151,2,p304002
chr13-80760924,1,p304002
chr13-83132798,1,p304002
chr13-83156042,2,p304002
chr13-84938370,1,p304002
chr13-86867859,1,p304002
chr13-87066045,1,p304002
chr13-87197280,1,p304002
chr13-88907937,1,p304002
chr13-92366970,1,p304002
chr13-97248101,1,p304002
chr13+101187897,2,p304002
chr13+102655281,1,p304002
chr13+103855691,1,p304002
chr13+108233311,1,p304002
chr13+113218367,2,p304002
chr13+114255320,1,p304002
chr13+16581420,1,p304002
chr13+19704680,1,p304002
chr13+19991980,1,p304002
chr13+21870932,1,p304002
chr13+27109932,1,p304002
chr13+27596225,1,p304002
chr13+29807255,1,p304002
chr13+30297618,1,p304002
chr13+32779388,1,p304002
chr13+33373668,1,p304002
chr13+34948308,1,p304002
chr13+35068438,1,p304002
chr13+35112464,1,p304002
chr13+35196642,2,p304002
chr13+35214298,1,p304002
chr13+37029340,2,p304002
chr13+37052975,1,p304002
chr13+38360258,1,p304002
chr13+41330126,1,p304002
chr13+41692145,1,p304002
chr13+45149628,1,p304002
chr13+46022228,1,p304002
chr13+46508576,1,p304002
chr13+47043665,2,p304002
chr13+48348557,1,p304002
chr13+48360059,1,p304002
chr13+49202281,1,p304002
chr13+51401909,1,p304002
chr13+51630580,1,p304002
chr13+53127328,1,p304002
chr13+58369335,1,p304002
chr13+58774078,1,p304002
chr13+58890712,1,p304002
chr13+60025572,1,p304002
chr13+60442565,1,p304002
chr13+62566793,1,p304002
chr13+63620088,1,p304002
chr13+64487955,1,p304002
chr13+67176921,1,p304002
chr13+68051562,1,p304002
chr13+68463317,1,p304002
chr13+71594006,1,p304002
chr13+71743091,1,p304002
chr13+73872543,1,p304002
chr13+77081418,1,p304002
chr13+77128728,1,p304002
chr13+77192402,1,p304002
chr13+77235145,1,p304002
chr13+83548490,1,p304002
chr13+84569972,1,p304002
chr13+85612341,1,p304002
chr13+85727724,1,p304002
chr13+85837142,1,p304002
chr13+87120769,1,p304002
chr13+89296556,1,p304002
chr13+89408025,1,p304002
chr13+89433879,1,p304002
chr13+89856783,1,p304002
chr13+90014287,1,p304002
chr13+91146803,1,p304002
chr13+91540321,1,p304002
chr13+91699239,1,p304002
chr13+92469815,1,p304002
chr13+96385899,1,p304002
chr14-100245026,1,p304002
chr14-101895104,1,p304002
chr14-103036253,1,p304002
chr14-103645916,2,p304002
chr14-105003521,1,p304002
chr14-105979058,1,p304002
chr14-106569029,1,p304002
chr14-106815863,1,p304002
chr14-22459748,1,p304002
chr14-22522387,1,p304002
chr14-22909149,1,p304002
chr14-23032095,1,p304002
chr14-24286813,1,p304002
chr14-29524838,1,p304002
chr14-30605659,1,p304002
chr14-30890973,1,p304002
chr14-30990757,1,p304002
chr14-31394325,1,p304002
chr14-31586519,1,p304002
chr14-32149754,1,p304002
chr14-32447248,1,p304002
chr14-35618202,1,p304002
chr14-35698183,1,p304002
chr14-36304705,1,p304002
chr14-38398146,1,p304002
chr14-39069619,1,p304002
chr14-40335620,2,p304002
chr14-43519803,1,p304002
chr14-44943477,2,p304002
chr14-45694640,1,p304002
chr14-46198425,1,p304002
chr14-46217171,1,p304002
chr14-47082360,1,p304002
chr14-47216509,1,p304002
chr14-47368698,1,p304002
chr14-50629575,1,p304002
chr14-50807178,1,p304002
chr14-52464368,1,p304002
chr14-53061574,1,p304002
chr14-53339420,1,p304002
chr14-55300755,1,p304002
chr14-55601165,1,p304002
chr14-55617808,1,p304002
chr14-56353255,1,p304002
chr14-60761314,1,p304002
chr14-60948189,1,p304002
chr14-61701052,1,p304002
chr14-63636968,1,p304002
chr14-67059205,1,p304002
chr14-67586182,1,p304002
chr14-67982655,1,p304002
chr14-69558735,1,p304002
chr14-71350079,1,p304002
chr14-73092420,1,p304002
chr14-73111618,1,p304002
chr14-83018271,1,p304002
chr14-83943333,1,p304002
chr14-86077795,1,p304002
chr14-87973034,1,p304002
chr14-88734463,1,p304002
chr14-92014753,1,p304002
chr14-93293244,1,p304002
chr14-94264360,1,p304002
chr14+100915661,1,p304002
chr14+100966311,1,p304002
chr14+101013890,1,p304002
chr14+101014008,1,p304002
chr14+102598932,1,p304002
chr14+102862172,1,p304002
chr14+103400418,1,p304002
chr14+103438156,1,p304002
chr14+103440659,1,p304002
chr14+103669468,1,p304002
chr14+104702799,1,p304002
chr14+104762295,2,p304002
chr14+105258658,1,p304002
chr14+106131986,1,p304002
chr14+106216203,1,p304002
chr14+106705855,1,p304002
chr14+18249219,1,p304002
chr14+21046550,1,p304002
chr14+21046562,1,p304002
chr14+21766219,1,p304002
chr14+21909794,1,p304002
chr14+22210585,1,p304002
chr14+24684277,1,p304002
chr14+28141138,1,p304002
chr14+31170748,1,p304002
chr14+32458396,1,p304002
chr14+34809615,1,p304002
chr14+35775763,1,p304002
chr14+37278238,1,p304002
chr14+39200207,1,p304002
chr14+39398827,1,p304002
chr14+40617676,1,p304002
chr14+41749135,1,p304002
chr14+42590095,1,p304002
chr14+42668746,1,p304002
chr14+42905139,1,p304002
chr14+43768461,2,p304002
chr14+47029793,1,p304002
chr14+47506783,1,p304002
chr14+50909333,1,p304002
chr14+52417638,1,p304002
chr14+57246201,1,p304002
chr14+60977328,2,p304002
chr14+64530396,1,p304002
chr14+65171935,1,p304002
chr14+66643329,1,p304002
chr14+66694537,1,p304002
chr14+67829055,1,p304002
chr14+68646550,1,p304002
chr14+70582089,1,p304002
chr14+70985806,1,p304002
chr14+73070488,1,p304002
chr14+73375387,1,p304002
chr14+74173757,1,p304002
chr14+75687683,1,p304002
chr14+75753613,1,p304002
chr14+75808320,1,p304002
chr14+81184699,1,p304002
chr14+81362514,1,p304002
chr14+83163937,1,p304002
chr14+84316820,1,p304002
chr14+84946352,1,p304002
chr14+88787185,1,p304002
chr14+91782058,1,p304002
chr14+94235719,3,p304002
chr14+96546525,1,p304002
chr14+96864561,1,p304002
chr14+97735215,1,p304002
chr15-100621952,1,p304002
chr15-22289742,1,p304002
chr15-24961164,1,p304002
chr15-33969170,1,p304002
chr15-36641346,1,p304002
chr15-37666226,1,p304002
chr15-37696938,1,p304002
chr15-38765765,1,p304002
chr15-39464183,1,p304002
chr15-41668600,1,p304002
chr15-41675763,1,p304002
chr15-41678023,1,p304002
chr15-41679535,1,p304002
chr15-41692984,1,p304002
chr15-42880802,1,p304002
chr15-43160799,1,p304002
chr15-43472336,1,p304002
chr15-44509852,1,p304002
chr15-44621454,1,p304002
chr15-49808609,1,p304002
chr15-50103762,1,p304002
chr15-52597493,1,p304002
chr15-55235239,1,p304002
chr15-56949123,1,p304002
chr15-56952823,1,p304002
chr15-57099643,1,p304002
chr15-57229697,1,p304002
chr15-58736449,1,p304002
chr15-58832064,1,p304002
chr15-58991787,1,p304002
chr15-59043089,1,p304002
chr15-59615796,1,p304002
chr15-61929385,1,p304002
chr15-63780930,1,p304002
chr15-65665340,1,p304002
chr15-65696365,1,p304002
chr15-65762884,2,p304002
chr15-67117237,1,p304002
chr15-67481472,1,p304002
chr15-67596702,1,p304002
chr15-68077592,1,p304002
chr15-68081925,1,p304002
chr15-68132885,1,p304002
chr15-68143764,1,p304002
chr15-69215832,1,p304002
chr15-72493637,1,p304002
chr15-73918728,1,p304002
chr15-74067508,1,p304002
chr15-74663732,1,p304002
chr15-74786847,1,p304002
chr15-74933027,1,p304002
chr15-75150716,1,p304002
chr15-75161793,1,p304002
chr15-75341498,1,p304002
chr15-75401772,1,p304002
chr15-75890344,1,p304002
chr15-76254912,1,p304002
chr15-76462287,1,p304002
chr15-76601782,1,p304002
chr15-76634638,1,p304002
chr15-76742039,1,p304002
chr15-76862964,1,p304002
chr15-77415253,1,p304002
chr15-78156718,1,p304002
chr15-80071199,1,p304002
chr15-82220412,1,p304002
chr15-83503701,1,p304002
chr15-83595887,1,p304002
chr15-83800980,1,p304002
chr15-90438605,1,p304002
chr15-90573242,1,p304002
chr15-94279602,1,p304002
chr15+101211856,1,p304002
chr15+101214233,1,p304002
chr15+22682041,1,p304002
chr15+25386835,1,p304002
chr15+27876479,1,p304002
chr15+28258896,1,p304002
chr15+29267103,1,p304002
chr15+34884823,1,p304002
chr15+36784701,1,p304002
chr15+40185967,2,p304002
chr15+40641069,1,p304002
chr15+41629890,1,p304002
chr15+41687569,1,p304002
chr15+41708205,1,p304002
chr15+41761574,2,p304002
chr15+41789169,1,p304002
chr15+42509221,1,p304002
chr15+42872606,1,p304002
chr15+43843432,2,p304002
chr15+44527116,1,p304002
chr15+48537273,1,p304002
chr15+49041882,1,p304002
chr15+50747732,1,p304002
chr15+57028098,1,p304002
chr15+58827238,1,p304002
chr15+61920339,1,p304002
chr15+61977781,1,p304002
chr15+63565983,1,p304002
chr15+63722483,1,p304002
chr15+65155669,1,p304002
chr15+65760700,1,p304002
chr15+67038481,1,p304002
chr15+67489854,1,p304002
chr15+67677644,1,p304002
chr15+69212032,1,p304002
chr15+70224709,1,p304002
chr15+71912864,2,p304002
chr15+72656165,1,p304002
chr15+73616451,1,p304002
chr15+74495078,1,p304002
chr15+74648846,1,p304002
chr15+74687945,1,p304002
chr15+75072244,1,p304002
chr15+75382201,1,p304002
chr15+75405097,1,p304002
chr15+75412776,1,p304002
chr15+75428756,1,p304002
chr15+75812809,1,p304002
chr15+75853349,1,p304002
chr15+76251799,1,p304002
chr15+76696116,1,p304002
chr15+76742889,1,p304002
chr15+76759856,1,p304002
chr15+76765418,1,p304002
chr15+76773918,1,p304002
chr15+76855002,1,p304002
chr15+76877532,1,p304002
chr15+76986432,1,p304002
chr15+77392388,1,p304002
chr15+82002973,1,p304002
chr15+83033367,1,p304002
chr15+83193293,1,p304002
chr15+84131900,1,p304002
chr15+90733687,1,p304002
chr15+90775974,1,p304002
chr15+91328080,1,p304002
chr15+91862679,1,p304002
chr15+94466645,1,p304002
chr15+99848041,1,p304002
chr16-11896273,2,p304002
chr16-14545002,1,p304002
chr16-14991191,1,p304002
chr16-15150625,1,p304002
chr16-1688242,1,p304002
chr16-1690689,1,p304002
chr16-16933043,1,p304002
chr16-1714491,1,p304002
chr16-1717510,1,p304002
chr16-1831840,1,p304002
chr16-18899763,1,p304002
chr16-18911602,1,p304002
chr16-2069996,1,p304002
chr16-2074475,1,p304002
chr16-20781451,2,p304002
chr16-20839261,1,p304002
chr16-21337134,1,p304002
chr16-21907125,1,p304002
chr16-22025293,1,p304002
chr16-22032216,1,p304002
chr16-22077451,1,p304002
chr16-2254238,1,p304002
chr16-2260733,1,p304002
chr16-243426,1,p304002
chr16-24750969,1,p304002
chr16-24756422,1,p304002
chr16-24763999,1,p304002
chr16-24941144,1,p304002
chr16-2517122,1,p304002
chr16-25246360,1,p304002
chr16-2571728,1,p304002
chr16-28159045,1,p304002
chr16-28968462,1,p304002
chr16-29119149,1,p304002
chr16-29166393,1,p304002
chr16-29555861,1,p304002
chr16-29557053,1,p304002
chr16-29579883,1,p304002
chr16-29584735,1,p304002
chr16-30293633,1,p304002
chr16-30296751,1,p304002
chr16-30469255,2,p304002
chr16-30487671,1,p304002
chr16-31185925,1,p304002
chr16-31305824,1,p304002
chr16-3232208,1,p304002
chr16-330465,1,p304002
chr16-3838206,1,p304002
chr16-3842554,1,p304002
chr16-3845222,1,p304002
chr16-3846342,2,p304002
chr16-3853615,1,p304002
chr16-3860970,1,p304002
chr16-47020224,1,p304002
chr16-47662164,1,p304002
chr16-47948999,1,p304002
chr16-48256387,1,p304002
chr16-50188857,1,p304002
chr16-50357995,1,p304002
chr16-50790732,1,p304002
chr16-53114511,1,p304002
chr16-53328033,1,p304002
chr16-53674299,1,p304002
chr16-53688428,1,p304002
chr16-55554117,1,p304002
chr16-56798195,1,p304002
chr16-56829343,1,p304002
chr16-58571783,1,p304002
chr16-66815515,1,p304002
chr16-67082833,1,p304002
chr16-68098942,1,p304002
chr16-682691,1,p304002
chr16-68885682,1,p304002
chr16-69628738,1,p304002
chr16-69847928,1,p304002
chr16-70133019,1,p304002
chr16-70410474,1,p304002
chr16-79686205,1,p304002
chr16-84109859,2,p304002
chr16-85587655,1,p304002
chr16-88727947,1,p304002
chr16-88777776,1,p304002
chr16-89372957,1,p304002
chr16-89437204,1,p304002
chr16-89478276,2,p304002
chr16-89514131,1,p304002
chr16-89518058,1,p304002
chr16-89885818,1,p304002
chr16-89887325,1,p304002
chr16-9131406,1,p304002
chr16+10393418,1,p304002
chr16+10399954,2,p304002
chr16+14135104,1,p304002
chr16+14212169,1,p304002
chr16+14546350,1,p304002
chr16+14999932,1,p304002
chr16+1578554,1,p304002
chr16+1583637,1,p304002
chr16+15866796,2,p304002
chr16+1653224,1,p304002
chr16+1691806,1,p304002
chr16+1710585,1,p304002
chr16+17422301,1,p304002
chr16+17443459,1,p304002
chr16+1755430,1,p304002
chr16+1802024,1,p304002
chr16+1848257,1,p304002
chr16+193382,1,p304002
chr16+19544890,1,p304002
chr16+1967429,1,p304002
chr16+1997616,1,p304002
chr16+20713782,1,p304002
chr16+20795540,1,p304002
chr16+2101022,1,p304002
chr16+213733,1,p304002
chr16+219151,1,p304002
chr16+2257161,1,p304002
chr16+2260382,1,p304002
chr16+226086,1,p304002
chr16+2346783,1,p304002
chr16+23764614,1,p304002
chr16+2379516,1,p304002
chr16+24169476,1,p304002
chr16+24549138,1,p304002
chr16+24752315,1,p304002
chr16+2756471,1,p304002
chr16+2934894,1,p304002
chr16+2944434,1,p304002
chr16+29553752,1,p304002
chr16+29569477,1,p304002
chr16+29584678,1,p304002
chr16+30324420,1,p304002
chr16+30710463,1,p304002
chr16+30963914,1,p304002
chr16+30988466,1,p304002
chr16+31126111,1,p304002
chr16+31554197,1,p304002
chr16+334764,1,p304002
chr16+3753973,1,p304002
chr16+3757528,1,p304002
chr16+3781352,1,p304002
chr16+3858217,1,p304002
chr16+46804636,1,p304002
chr16+47200433,1,p304002
chr16+48595222,1,p304002
chr16+50761174,1,p304002
chr16+53280835,1,p304002
chr16+53723490,1,p304002
chr16+55529543,1,p304002
chr16+57007908,1,p304002
chr16+62918953,1,p304002
chr16+63353324,1,p304002
chr16+64150948,1,p304002
chr16+65860789,1,p304002
chr16+67601896,1,p304002
chr16+67605273,1,p304002
chr16+67740674,1,p304002
chr16+68142294,1,p304002
chr16+68145728,1,p304002
chr16+68147885,1,p304002
chr16+68162195,1,p304002
chr16+68562159,1,p304002
chr16+68903564,1,p304002
chr16+69006751,1,p304002
chr16+69582341,1,p304002
chr16+69624664,1,p304002
chr16+69650333,1,p304002
chr16+69653158,1,p304002
chr16+71282135,1,p304002
chr16+71909117,1,p304002
chr16+72485556,1,p304002
chr16+75022360,1,p304002
chr16+78244778,1,p304002
chr16+81526358,1,p304002
chr16+84102898,1,p304002
chr16+84127500,1,p304002
chr16+87442209,1,p304002
chr16+87446244,1,p304002
chr16+87741197,1,p304002
chr16+87971919,1,p304002
chr16+88674559,1,p304002
chr16+88960524,1,p304002
chr16+89129514,1,p304002
chr16+89129588,1,p304002
chr16+89135506,1,p304002
chr16+89374282,1,p304002
chr16+89541007,1,p304002
chr16+89788417,1,p304002
chr16+89809407,1,p304002
chr16+89811110,1,p304002
chr16+89979152,1,p304002
chr16+922405,1,p304002
chr17-10412909,1,p304002
chr17-12104954,1,p304002
chr17-12108351,1,p304002
chr17-1360568,1,p304002
chr17-14103384,1,p304002
chr17-16209705,2,p304002
chr17-1632999,1,p304002
chr17-18048271,1,p304002
chr17-18885148,1,p304002
chr17-20030219,1,p304002
chr17-20153868,1,p304002
chr17-20973157,1,p304002
chr17-2265048,1,p304002
chr17-22676028,1,p304002
chr17-2449948,1,p304002
chr17-2474315,1,p304002
chr17-2484354,1,p304002
chr17-2508334,1,p304002
chr17-2598297,1,p304002
chr17-2598772,1,p304002
chr17-29262541,1,p304002
chr17-29352657,1,p304002
chr17-29414251,1,p304002
chr17-29451222,1,p304002
chr17-29486314,1,p304002
chr17-2968849,1,p304002
chr17-2977278,1,p304002
chr17-30056313,1,p304002
chr17-30607427,1,p304002
chr17-31192026,1,p304002
chr17-32216426,2,p304002
chr17-35359198,1,p304002
chr17-35382358,1,p304002
chr17-35413329,1,p304002
chr17-35691947,1,p304002
chr17-36554634,1,p304002
chr17-36567668,1,p304002
chr17-36977063,1,p304002
chr17-36980211,1,p304002
chr17-36982105,1,p304002
chr17-36984672,1,p304002
chr17-37200780,1,p304002
chr17-3785701,1,p304002
chr17-39508576,1,p304002
chr17-4036158,1,p304002
chr17-40629866,1,p304002
chr17-4068252,1,p304002
chr17-4103600,2,p304002
chr17-41850929,1,p304002
chr17-42233860,1,p304002
chr17-42244796,1,p304002
chr17-42266303,1,p304002
chr17-4232285,1,p304002
chr17-42464652,1,p304002
chr17-42596298,1,p304002
chr17-4296270,1,p304002
chr17-43065741,1,p304002
chr17-4308865,1,p304002
chr17-43161299,1,p304002
chr17-4316837,1,p304002
chr17-43190482,1,p304002
chr17-43782527,1,p304002
chr17-44116467,1,p304002
chr17-44451152,1,p304002
chr17-44481363,1,p304002
chr17-44943001,1,p304002
chr17-45259440,1,p304002
chr17-46091885,1,p304002
chr17-46116996,2,p304002
chr17-46141124,1,p304002
chr17-46153272,2,p304002
chr17-46710968,1,p304002
chr17-47167629,1,p304002
chr17-47331446,1,p304002
chr17-47374575,1,p304002
chr17-47440922,1,p304002
chr17-47588668,1,p304002
chr17-48388439,1,p304002
chr17-48479194,1,p304002
chr17-4856821,1,p304002
chr17-4875177,1,p304002
chr17-49358452,2,p304002
chr17-50645298,1,p304002
chr17-5090541,1,p304002
chr17-50981090,1,p304002
chr17-53193642,1,p304002
chr17-5325804,1,p304002
chr17-5338352,1,p304002
chr17-5364305,1,p304002
chr17-5370324,1,p304002
chr17-5409599,1,p304002
chr17-5549393,1,p304002
chr17-5562538,1,p304002
chr17-5566298,1,p304002
chr17-56392062,1,p304002
chr17-58107082,1,p304002
chr17-59161410,1,p304002
chr17-59669960,1,p304002
chr17-59716492,1,p304002
chr17-59804291,1,p304002
chr17-61911582,1,p304002
chr17-63052988,1,p304002
chr17-63053030,1,p304002
chr17-63292518,1,p304002
chr17-63348192,1,p304002
chr17-63553750,1,p304002
chr17-63805857,1,p304002
chr17-64581537,1,p304002
chr17-64634371,1,p304002
chr17-6619728,1,p304002
chr17-67078575,1,p304002
chr17-69220222,1,p304002
chr17-6928105,1,p304002
chr17-69301233,1,p304002
chr17-69317623,1,p304002
chr17-6944123,1,p304002
chr17-6946266,1,p304002
chr17-7025561,1,p304002
chr17-7348883,1,p304002
chr17-7495122,1,p304002
chr17-7501445,1,p304002
chr17-75217024,2,p304002
chr17-75379650,1,p304002
chr17-75381181,1,p304002
chr17-75397222,1,p304002
chr17-75681358,1,p304002
chr17-75962489,1,p304002
chr17-75974357,1,p304002
chr17-76318907,1,p304002
chr17-76326200,1,p304002
chr17-76563555,1,p304002
chr17-76763509,1,p304002
chr17-77220311,1,p304002
chr17-77431490,1,p304002
chr17-77977216,1,p304002
chr17-77978584,1,p304002
chr17-77979169,1,p304002
chr17-77998292,1,p304002
chr17-78007719,1,p304002
chr17-78025777,1,p304002
chr17-78040776,1,p304002
chr17-78453199,1,p304002
chr17-78693404,1,p304002
chr17-78741807,1,p304002
chr17-78754466,1,p304002
chr17-78762123,1,p304002
chr17-78773026,2,p304002
chr17-78873584,1,p304002
chr17-79821466,1,p304002
chr17-79967205,1,p304002
chr17-80323143,1,p304002
chr17-8035393,1,p304002
chr17-81289481,1,p304002
chr17-81841752,1,p304002
chr17-81879363,1,p304002
chr17-82183661,1,p304002
chr17-82434060,1,p304002
chr17-82531086,1,p304002
chr17-82582738,1,p304002
chr17-82637573,1,p304002
chr17-82728753,1,p304002
chr17-83022009,1,p304002
chr17-83041701,1,p304002
chr17-83043033,1,p304002
chr17-8588384,1,p304002
chr17-8603664,1,p304002
chr17-8854663,1,p304002
chr17+1099792,1,p304002
chr17+12033038,1,p304002
chr17+12045601,1,p304002
chr17+12106562,1,p304002
chr17+1355540,1,p304002
chr17+1358200,1,p304002
chr17+1394583,1,p304002
chr17+1422993,1,p304002
chr17+1423982,1,p304002
chr17+1527875,1,p304002
chr17+15554264,1,p304002
chr17+1632527,1,p304002
chr17+1791493,1,p304002
chr17+18344067,1,p304002
chr17+1852924,1,p304002
chr17+1853071,1,p304002
chr17+1854961,1,p304002
chr17+18692305,1,p304002
chr17+18890001,2,p304002
chr17+19661166,1,p304002
chr17+19819838,1,p304002
chr17+19964131,1,p304002
chr17+20164663,1,p304002
chr17+2106203,1,p304002
chr17+218514,1,p304002
chr17+2206275,1,p304002
chr17+22242222,2,p304002
chr17+2241722,1,p304002
chr17+2606708,1,p304002
chr17+2651063,1,p304002
chr17+28765952,1,p304002
chr17+28777710,1,p304002
chr17+28795424,1,p304002
chr17+29448821,1,p304002
chr17+29508394,1,p304002
chr17+29519196,1,p304002
chr17+29734487,1,p304002
chr17+29747492,1,p304002
chr17+30178312,1,p304002
chr17+30266095,1,p304002
chr17+31160078,2,p304002
chr17+31168024,1,p304002
chr17+31279399,1,p304002
chr17+31334475,1,p304002
chr17+31942215,1,p304002
chr17+32371432,1,p304002
chr17+35622972,1,p304002
chr17+37192141,1,p304002
chr17+38994716,1,p304002
chr17+39469606,1,p304002
chr17+39490235,2,p304002
chr17+39504234,1,p304002
chr17+39529349,1,p304002
chr17+39982007,1,p304002
chr17+40135367,1,p304002
chr17+40241290,1,p304002
chr17+4041272,1,p304002
chr17+40640160,1,p304002
chr17+40640424,1,p304002
chr17+41760748,1,p304002
chr17+41783570,1,p304002
chr17+41829889,1,p304002
chr17+41848054,1,p304002
chr17+41875785,1,p304002
chr17+41997699,1,p304002
chr17+42256217,1,p304002
chr17+42269098,1,p304002
chr17+42339279,1,p304002
chr17+4237734,1,p304002
chr17+43089649,1,p304002
chr17+4321982,1,p304002
chr17+4322219,1,p304002
chr17+4324267,1,p304002
chr17+4346005,1,p304002
chr17+4351888,1,p304002
chr17+44431812,1,p304002
chr17+44435380,1,p304002
chr17+44460576,1,p304002
chr17+44466505,1,p304002
chr17+44467936,1,p304002
chr17+44471813,1,p304002
chr17+44476607,1,p304002
chr17+45065744,1,p304002
chr17+45578250,1,p304002
chr17+46150343,1,p304002
chr17+46166781,1,p304002
chr17+46220935,1,p304002
chr17+46487595,1,p304002
chr17+46705309,1,p304002
chr17+4679063,1,p304002
chr17+4680201,1,p304002
chr17+4689093,1,p304002
chr17+4690743,1,p304002
chr17+47165711,1,p304002
chr17+4814131,1,p304002
chr17+48298827,1,p304002
chr17+49295070,1,p304002
chr17+49590273,1,p304002
chr17+49644618,1,p304002
chr17+5149458,1,p304002
chr17+5158052,1,p304002
chr17+5160226,1,p304002
chr17+5303344,1,p304002
chr17+5327929,1,p304002
chr17+5399429,1,p304002
chr17+5554123,1,p304002
chr17+5567377,1,p304002
chr17+5570768,2,p304002
chr17+56865212,1,p304002
chr17+59685277,1,p304002
chr17+60608336,1,p304002
chr17+61853293,1,p304002
chr17+61916410,1,p304002
chr17+62874971,1,p304002
chr17+63116299,1,p304002
chr17+64370130,1,p304002
chr17+64590628,1,p304002
chr17+64611350,1,p304002
chr17+65033696,1,p304002
