seqnames,start,end,width,strand,refGenome,reads,patient,sampleName,GTSP,timePoint,timePointDays,timePointMonths,dataSource,posid,inFeature,nearestFeature,nearestFeatureStrand,inFeatureExon,inFeatureSameOrt,nearestFeatureDist,nearestOncoFeature,nearestOncoFeatureDist,nearestOncoFeatureStrand,nearestlymphomaFeature,nearestlymphomaFeatureDist,nearestlymphomaFeatureStrand,cellType
chr14,29524762,29524838,77,-,hg38,113,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr14-29524838,FALSE,PRKD1,-,FALSE,TRUE,51639,PRKD1,51639,-,TCL1A,66185127,-,WHOLE BLOOD
chr16,29584650,29584735,86,-,hg38,1,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr16-29584735,TRUE,SMG1P2,-,FALSE,TRUE,0,MVP,-235657,+,None.found,Inf,None.found,WHOLE BLOOD
chr17,29747492,29747853,362,+,hg38,32,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr17+29747492,TRUE,SSH2,-,FALSE,FALSE,-0,TRAF4,996533,+,None.found,Inf,None.found,WHOLE BLOOD
chr6,29881928,29882272,345,+,hg38,31,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6+29881928,FALSE,HLA-H,+,FALSE,TRUE,-5643,IER3,861269,-,BRD2,-3086730,+,WHOLE BLOOD
chr22,29923830,29924223,394,+,hg38,28,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr22+29923830,TRUE,MTMR3,+,FALSE,TRUE,0,MTMR3,0,+,BCR,6605792,+,WHOLE BLOOD
chr22,29951396,29951643,248,+,hg38,62,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr22+29951396,TRUE,MTMR3,+,FALSE,TRUE,0,MTMR3,0,+,BCR,6633358,+,WHOLE BLOOD
chr22,29966016,29966381,366,+,hg38,11,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr22+29966016,TRUE,MTMR3,+,FALSE,TRUE,-0,MTMR3,-0,+,BCR,6647978,+,WHOLE BLOOD
chr22,29969142,29969316,175,+,hg38,17,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr22+29969142,TRUE,MTMR3,+,FALSE,TRUE,-0,MTMR3,-0,+,BCR,6651104,+,WHOLE BLOOD
chr19,29980368,29980804,437,+,hg38,12,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr19+29980368,TRUE,URI1,+,FALSE,TRUE,-0,CCNE1,156050,+,JUND,-11698711,-,WHOLE BLOOD
chr19,29990799,29990964,166,+,hg38,21,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr19+29990799,TRUE,URI1,+,FALSE,TRUE,-0,CCNE1,166481,+,JUND,-11709142,-,WHOLE BLOOD
chr17,30266095,30266408,314,+,hg38,59,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr17+30266095,TRUE,BLMH,-,FALSE,FALSE,-0,NF1,-828830,+,None.found,Inf,None.found,WHOLE BLOOD
chr13,30297618,30298195,578,+,hg38,1,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr13+30297618,TRUE,KATNAL1,-,FALSE,FALSE,0,HMGB1,160296,-,CDX2,-2328249,-,WHOLE BLOOD
chr7,30309626,30309973,348,-,hg38,22,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr7-30309973,TRUE,ZNRF2,+,FALSE,FALSE,0,NOD1,114552,-,None.found,Inf,None.found,WHOLE BLOOD
chr7,30367406,30367452,47,+,hg38,176,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr7+30367406,TRUE,ZNRF2,+,TRUE,TRUE,-0,NOD1,57119,-,None.found,Inf,None.found,WHOLE BLOOD
chr14,30605391,30605659,269,-,hg38,61,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr14-30605659,TRUE,G2E3,+,TRUE,FALSE,-0,PRKD1,-677916,-,TCL1A,65104306,-,WHOLE BLOOD
chrX,30876717,30877091,375,+,hg38,14,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chrX+30876717,TRUE,TAB3,-,FALSE,FALSE,0,TAB3,0,-,MTCP1,124187315,-,WHOLE BLOOD
chr16,30988466,30988626,161,+,hg38,125,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr16+30988466,TRUE,HSD3B7,+,TRUE,TRUE,-0,STX4,-44627,+,None.found,Inf,None.found,WHOLE BLOOD
chr1,31011288,31011656,369,-,hg38,34,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr1-31011656,TRUE,PUM1,-,FALSE,TRUE,0,SDC3,-103022,-,LCK,-1239581,+,WHOLE BLOOD
chr17,31168024,31168327,304,+,hg38,33,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr17+31168024,TRUE,NF1,+,FALSE,TRUE,0,NF1,0,+,None.found,Inf,None.found,WHOLE BLOOD
chr17,31191975,31192026,52,-,hg38,331,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr17-31192026,TRUE,NF1,+,FALSE,FALSE,0,NF1,0,+,None.found,Inf,None.found,WHOLE BLOOD
chr6,31221704,31221988,285,+,hg38,15,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6+31221704,FALSE,HCG27,+,FALSE,TRUE,17735,POU5F1,-51010,-,BRD2,-1746954,+,WHOLE BLOOD
chr6,31290756,31290964,209,-,hg38,146,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6-31290964,FALSE,LINC02571,-,FALSE,TRUE,2942,POU5F1,-120270,-,BRD2,-1677694,+,WHOLE BLOOD
chr17,31334475,31334680,206,+,hg38,22,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr17+31334475,TRUE,NF1,+,FALSE,TRUE,-0,NF1,-0,+,None.found,Inf,None.found,WHOLE BLOOD
chr6,31360110,31360496,387,+,hg38,14,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6+31360110,FALSE,HLA-B,-,FALSE,FALSE,-2864,POU5F1,-189416,-,BRD2,-1608548,+,WHOLE BLOOD
chr6,31412983,31413178,196,+,hg38,183,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6+31412983,TRUE,MICA,+,FALSE,TRUE,-0,LTA,-159114,+,BRD2,-1555675,+,WHOLE BLOOD
chr6,31456778,31456847,70,+,hg38,43,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6+31456778,FALSE,HCP5,+,FALSE,TRUE,-6400,LTA,-115319,+,BRD2,-1511880,+,WHOLE BLOOD
chr9,31586988,31587424,437,+,hg38,3,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr9+31586988,FALSE,LINC01243,-,FALSE,FALSE,-205497,TOPORS,953554,-,JAK2,26458804,+,WHOLE BLOOD
chr9,31590016,31590062,47,-,hg38,16,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr9-31590062,FALSE,LINC01243,-,FALSE,TRUE,-208571,TOPORS,950480,-,JAK2,26461878,+,WHOLE BLOOD
chr11,31628982,31629337,356,-,hg38,10,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr11-31629337,TRUE,ELP4,+,FALSE,FALSE,0,PAX6,155453,-,LMO2,2229237,-,WHOLE BLOOD
chr22,31719393,31719519,127,+,hg38,53,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr22+31719393,TRUE,PRR14L,-,FALSE,FALSE,0,PATZ1,-373129,-,BCR,8401355,+,WHOLE BLOOD
chr1,31910595,31911128,534,-,hg38,3,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr1-31911128,TRUE,PTP4A2,-,FALSE,TRUE,-0,COL16A1,-206960,-,LCK,-340109,+,WHOLE BLOOD
chr6,32076551,32076772,222,-,hg38,99,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6-32076772,TRUE,TNXB,-,FALSE,TRUE,0,AGER,104194,-,BRD2,-891886,+,WHOLE BLOOD
chr6,32285103,32285447,345,-,hg38,18,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6-32285447,TRUE,LOC101929163,+,FALSE,FALSE,0,NOTCH4,-61379,-,BRD2,-683211,+,WHOLE BLOOD
chr6,32306946,32307145,200,-,hg38,51,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6-32307145,TRUE,"LOC101929163,C6orf10","+,-",FALSE,FALSE,-0,NOTCH4,-83077,-,BRD2,-661513,+,WHOLE BLOOD
chr18,32336308,32336338,31,-,hg38,8,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr18-32336338,TRUE,GAREM1,-,FALSE,TRUE,-0,DSG2,787329,+,BCL2,30787006,-,WHOLE BLOOD
chr6,32364798,32364936,139,-,hg38,149,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6-32364936,TRUE,"LOC101929163,C6orf10","+,-",FALSE,FALSE,0,NOTCH4,-140868,-,BRD2,-603722,+,WHOLE BLOOD
chr2,32377782,32377962,181,-,hg38,48,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr2-32377962,TRUE,BIRC6,+,FALSE,FALSE,0,BIRC6,0,+,BCL11A,28073203,-,WHOLE BLOOD
chr2,32529147,32529195,49,+,hg38,200,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr2+32529147,TRUE,BIRC6,+,FALSE,TRUE,-0,BIRC6,-0,+,BCL11A,27922018,-,WHOLE BLOOD
chr6,32613522,32613610,89,+,hg38,115,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6+32613522,FALSE,HLA-DRB1,-,FALSE,FALSE,-23685,TAP2,208309,-,BRD2,-355136,+,WHOLE BLOOD
chr6,32772238,32772310,73,-,hg38,161,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6-32772310,FALSE,HLA-DQB2,-,FALSE,TRUE,-8756,TAP2,49521,-,BRD2,-196348,+,WHOLE BLOOD
chr6,32778393,32778679,287,-,hg38,2,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6-32778679,FALSE,HLA-DQB2,-,FALSE,TRUE,-15125,TAP2,43152,-,BRD2,-189979,+,WHOLE BLOOD
chr11,32907795,32908144,350,-,hg38,12,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr11-32908144,TRUE,QSER1,+,FALSE,FALSE,0,WT1,-472604,-,LMO2,950430,-,WHOLE BLOOD
chr6,33034126,33034260,135,+,hg38,35,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6+33034126,FALSE,HLA-DOA,-,FALSE,FALSE,-24513,BRD2,52620,+,BRD2,52620,+,WHOLE BLOOD
chr6,33043269,33043363,95,+,hg38,23,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6+33043269,FALSE,HLA-DPA1,-,FALSE,FALSE,21298,BRD2,61763,+,BRD2,61763,+,WHOLE BLOOD
chr19,33071457,33071487,31,-,hg38,6,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr19-33071487,FALSE,RHPN2,-,FALSE,TRUE,-6568,CEBPA,228445,-,JUND,-14789830,-,WHOLE BLOOD
chr13,33158854,33158921,68,-,hg38,268,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr13-33158921,TRUE,STARD13,-,FALSE,TRUE,-0,STARD13,-0,-,CDX2,-5189552,-,WHOLE BLOOD
chr6,33260694,33261013,320,+,hg38,18,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6+33260694,TRUE,VPS52,-,FALSE,FALSE,-0,DAXX,57862,-,BRD2,279188,+,WHOLE BLOOD
chr3,33656753,33656923,171,+,hg38,76,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr3+33656753,TRUE,CLASP2,-,FALSE,FALSE,0,GLB1,-559522,-,None.found,Inf,None.found,WHOLE BLOOD
chr9,33685235,33685360,126,-,hg38,1,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr9-33685360,TRUE,PTENP1-AS,+,FALSE,FALSE,-0,BAG1,-420598,-,JAK2,28557176,+,WHOLE BLOOD
chr21,33705676,33706018,343,+,hg38,22,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr21+33705676,TRUE,ITSN1,+,FALSE,TRUE,0,IFNGR2,268154,+,OLIG2,676479,+,WHOLE BLOOD
chr15,33968764,33969170,407,-,hg38,6,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr15-33969170,TRUE,"AVEN,CHRM5","-,+",FALSE,FALSE,0,NUTM1,-374143,+,None.found,Inf,None.found,WHOLE BLOOD
chr6,34347586,34347946,361,-,hg38,4,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6-34347946,TRUE,"NUDT3,RPS10-NUDT3","-,-",FALSE,TRUE,-0,HMGA1,101714,+,BRD2,1366440,+,WHOLE BLOOD
chr11,34577839,34578236,398,-,hg38,12,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr11-34578236,FALSE,EHF,+,FALSE,FALSE,-42803,ABTB2,-220227,-,LMO2,-685946,-,WHOLE BLOOD
chr9,34687561,34687909,349,+,hg38,5,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr9+34687561,FALSE,CCL19,-,FALSE,FALSE,2007,FANCG,386275,-,JAK2,29559377,+,WHOLE BLOOD
chr20,34808781,34809014,234,-,hg38,7,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr20-34809014,TRUE,NCOA6,-,FALSE,TRUE,0,NCOA6,0,-,None.found,Inf,None.found,WHOLE BLOOD
chr14,34809615,34809656,42,+,hg38,297,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr14+34809615,TRUE,BAZ1A,-,FALSE,FALSE,-0,NFKBIA,591893,-,TCL1A,60900350,-,WHOLE BLOOD
chr6,34846909,34847498,590,+,hg38,1,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6+34846909,TRUE,UHRF1BP1,+,FALSE,TRUE,-0,PPARD,-495647,+,BRD2,1865403,+,WHOLE BLOOD
chr21,34880001,34880302,302,-,hg38,1,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr21-34880302,TRUE,RUNX1,-,FALSE,TRUE,-0,RUNX1,-0,-,RUNX1,-0,-,WHOLE BLOOD
chr18,34918243,34918478,236,+,hg38,9,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr18+34918243,FALSE,DTNA,+,FALSE,TRUE,26398,SLC39A6,1190286,-,BCL2,28205101,-,WHOLE BLOOD
chr6,34966481,34966704,224,-,hg38,88,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6-34966704,TRUE,ANKS1A,+,FALSE,FALSE,0,PPARD,-375852,+,BRD2,1985198,+,WHOLE BLOOD
chr9,35050816,35051008,193,+,hg38,54,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr9+35050816,FALSE,C9orf131,+,FALSE,TRUE,4824,FANCG,23020,-,JAK2,29922632,+,WHOLE BLOOD
chr20,35052837,35053117,281,+,hg38,24,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr20+35052837,TRUE,TRPC4AP,-,FALSE,FALSE,0,NCOA6,-227187,-,None.found,Inf,None.found,WHOLE BLOOD
chr4,35153177,35153352,176,-,hg38,160,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr4-35153352,FALSE,ARAP2,-,FALSE,TRUE,852050,ARAP2,852050,-,RAP1GDS1,-63108022,+,WHOLE BLOOD
chr1,35189578,35189999,422,+,hg38,5,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr1+35189578,TRUE,SFPQ,-,FALSE,FALSE,0,SFPQ,0,-,LCK,2903410,+,WHOLE BLOOD
chr13,35196642,35196775,134,+,hg38,268,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr13+35196642,TRUE,NBEA,+,FALSE,TRUE,0,STARD13,-1519806,-,CDX2,-7227273,-,WHOLE BLOOD
chr17,35359095,35359198,104,-,hg38,262,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr17-35359198,TRUE,SLFN11,-,FALSE,TRUE,-0,NLE1,-216882,-,None.found,Inf,None.found,WHOLE BLOOD
chr1,35365375,35365765,391,-,hg38,37,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr1-35365765,TRUE,"ZMYM4,ZMYM4-AS1","+,-",FALSE,FALSE,0,SFPQ,-172619,-,LCK,3079597,+,WHOLE BLOOD
chr9,35504331,35504695,365,-,hg38,2,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr9-35504695,TRUE,RUSC2,+,FALSE,FALSE,0,RMRP,153054,-,JAK2,30376511,+,WHOLE BLOOD
chr9,35506622,35506713,92,-,hg38,260,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr9-35506713,TRUE,RUSC2,+,FALSE,FALSE,0,RMRP,151036,-,JAK2,30378529,+,WHOLE BLOOD
chr7,35640328,35640407,80,-,hg38,219,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr7-35640407,TRUE,HERPUD2,-,FALSE,TRUE,-0,ANLN,-749394,+,None.found,Inf,None.found,WHOLE BLOOD
chr20,35644709,35644919,211,-,hg38,75,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr20-35644919,TRUE,CPNE1,-,FALSE,TRUE,-0,RBM39,58688,-,None.found,Inf,None.found,WHOLE BLOOD
chr6,35686540,35686618,79,-,hg38,247,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6-35686618,TRUE,FKBP5,-,FALSE,TRUE,0,FANCE,219513,+,BRD2,2705112,+,WHOLE BLOOD
chr17,35691804,35691947,144,-,hg38,164,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr17-35691947,TRUE,AP2B1,+,FALSE,FALSE,-0,TAF15,-117506,+,None.found,Inf,None.found,WHOLE BLOOD
chr20,35731273,35731322,50,-,hg38,329,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr20-35731322,TRUE,RBM39,-,FALSE,TRUE,0,RBM39,0,-,None.found,Inf,None.found,WHOLE BLOOD
chr22,35762874,35763099,226,-,hg38,167,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr22-35763099,TRUE,RBFOX2,-,FALSE,TRUE,-0,MCM5,338596,+,BCR,12445061,+,WHOLE BLOOD
chr7,35855836,35856264,429,+,hg38,8,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr7+35855836,TRUE,SEPT7,+,FALSE,TRUE,-0,ANLN,-533965,+,None.found,Inf,None.found,WHOLE BLOOD
chrX,35880805,35881030,226,+,hg38,1,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chrX+35880805,FALSE,CFAP47,+,FALSE,TRUE,-38927,BCOR,4170439,-,MTCP1,119183227,-,WHOLE BLOOD
chrX,35880805,35881034,230,+,hg38,101,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chrX+35880805,FALSE,CFAP47,+,FALSE,TRUE,-38927,BCOR,4170439,-,MTCP1,119183227,-,WHOLE BLOOD
chr1,35966415,35966712,298,-,hg38,42,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr1-35966712,TRUE,AGO3,+,FALSE,FALSE,0,THRAP3,-257698,+,LCK,3680544,+,WHOLE BLOOD
chr1,35980007,35980090,84,-,hg38,145,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr1-35980090,TRUE,AGO3,+,FALSE,FALSE,0,THRAP3,-244320,+,LCK,3693922,+,WHOLE BLOOD
chr3,36020101,36020494,394,+,hg38,30,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr3+36020101,FALSE,ARPP21,+,FALSE,TRUE,225604,MLH1,-973247,+,None.found,Inf,None.found,WHOLE BLOOD
chr6,36038108,36038239,132,-,hg38,103,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6-36038239,TRUE,MAPK14,+,FALSE,FALSE,0,MAPK14,0,+,BRD2,3056733,+,WHOLE BLOOD
chr6,36046121,36046404,284,+,hg38,25,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6+36046121,TRUE,MAPK14,+,FALSE,TRUE,0,MAPK14,0,+,BRD2,3064615,+,WHOLE BLOOD
chr9,36054363,36054743,381,-,hg38,3,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr9-36054743,TRUE,RECK,+,FALSE,FALSE,0,RMRP,-396724,-,JAK2,30926559,+,WHOLE BLOOD
chr19,36357010,36357475,466,+,hg38,2,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr19+36357010,TRUE,ZFP14,-,FALSE,FALSE,0,ZNF146,118235,+,JUND,-18075353,-,WHOLE BLOOD
chr22,36357823,36357921,99,-,hg38,297,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr22-36357921,TRUE,MYH9,-,FALSE,TRUE,0,MYH9,0,-,BCR,13039883,+,WHOLE BLOOD
chr6,36464439,36464783,345,-,hg38,4,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6-36464783,TRUE,KCTD20,+,FALSE,FALSE,0,SRSF3,-129528,+,BRD2,3483277,+,WHOLE BLOOD
chr17,36554443,36554634,192,-,hg38,42,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr17-36554634,TRUE,GGNBP2,+,FALSE,FALSE,0,AATF,-394239,+,None.found,Inf,None.found,WHOLE BLOOD
chr19,36702620,36702971,352,+,hg38,1,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr19+36702620,TRUE,ZNF567,+,FALSE,TRUE,0,ZNF146,463845,+,JUND,-18420963,-,WHOLE BLOOD
chr15,36784701,36784822,122,+,hg38,103,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr15+36784701,TRUE,C15orf41,+,FALSE,TRUE,-0,RASGRP1,1703394,-,None.found,Inf,None.found,WHOLE BLOOD
chr2,36847262,36847315,54,-,hg38,148,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr2-36847315,TRUE,STRN,-,TRUE,TRUE,-0,STRN,-0,-,BCL11A,23603850,-,WHOLE BLOOD
chr5,36888676,36888961,286,+,hg38,45,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr5+36888676,TRUE,NIPBL,+,FALSE,TRUE,0,NIPBL,0,+,TLX3,-134420606,+,WHOLE BLOOD
chr19,36902995,36903212,218,+,hg38,77,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr19+36902995,TRUE,ZNF829,-,FALSE,FALSE,0,HKR1,-409840,+,JUND,-18621338,-,WHOLE BLOOD
chr17,36981941,36982105,165,-,hg38,96,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr17-36982105,TRUE,AATF,+,FALSE,FALSE,0,AATF,0,+,None.found,Inf,None.found,WHOLE BLOOD
chr5,36991850,36992019,170,+,hg38,66,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr5+36991850,TRUE,NIPBL,+,FALSE,TRUE,-0,NIPBL,-0,+,TLX3,-134317432,+,WHOLE BLOOD
chr9,37136720,37136969,250,+,hg38,1,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr9+37136720,TRUE,ZCCHC7,+,FALSE,TRUE,0,PAX5,-102240,-,JAK2,32008536,+,WHOLE BLOOD
chr9,37136720,37136977,258,+,hg38,46,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr9+37136720,TRUE,ZCCHC7,+,FALSE,TRUE,0,PAX5,-102240,-,JAK2,32008536,+,WHOLE BLOOD
chr2,37284679,37285013,335,+,hg38,23,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr2+37284679,TRUE,PRKD3,-,FALSE,FALSE,0,EIF2AK2,-127631,-,BCL11A,23166486,-,WHOLE BLOOD
chr7,37316042,37316256,215,-,hg38,3,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr7-37316256,TRUE,ELMO1,-,FALSE,TRUE,0,ELMO1,0,-,None.found,Inf,None.found,WHOLE BLOOD
chr21,37418869,37418942,74,+,hg38,193,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr21+37418869,TRUE,DYRK1A,+,FALSE,TRUE,0,DYRK1A,0,+,RUNX1,-2369570,-,WHOLE BLOOD
chr21,37430432,37430752,321,-,hg38,27,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr21-37430752,TRUE,DYRK1A,+,FALSE,FALSE,0,DYRK1A,0,+,RUNX1,-2381453,-,WHOLE BLOOD
chr11,37497016,37497328,313,-,hg38,34,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr11-37497328,FALSE,LOC105376633,+,FALSE,FALSE,-441271,CD44,2264925,+,LMO2,-3605038,-,WHOLE BLOOD
chr1,37585469,37585592,124,-,hg38,155,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr1-37585592,TRUE,GNL2,-,FALSE,TRUE,0,RSPO1,25756,-,LCK,5299424,+,WHOLE BLOOD
chr22,37663175,37663283,109,+,hg38,18,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr22+37663175,TRUE,PDXP,+,FALSE,TRUE,-0,GGA1,29610,+,BCR,14345137,+,WHOLE BLOOD
chr15,37665932,37666226,295,-,hg38,68,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr15-37666226,FALSE,TMCO5A,+,FALSE,FALSE,-268379,RASGRP1,821869,-,None.found,Inf,None.found,WHOLE BLOOD
chr5,37732869,37733030,162,+,hg38,124,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr5+37732869,TRUE,WDR70,+,FALSE,TRUE,-0,NIPBL,667049,+,TLX3,-133576413,+,WHOLE BLOOD
chr7,37999289,37999374,86,-,hg38,312,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr7-37999374,FALSE,EPDR1,+,FALSE,FALSE,47432,SFRP4,-82450,-,None.found,Inf,None.found,WHOLE BLOOD
chr6,38020721,38021080,360,+,hg38,18,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr6+38020721,TRUE,ZFAND3,+,FALSE,TRUE,-0,PIM1,845292,+,BRD2,5039215,+,WHOLE BLOOD
chr11,38042160,38042414,255,+,hg38,35,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr11+38042160,FALSE,LOC105376633,+,FALSE,TRUE,87496,CD44,2809757,+,LMO2,-4149870,-,WHOLE BLOOD
chr22,38157107,38157241,135,-,hg38,75,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr22-38157241,TRUE,PLA2G6,-,FALSE,TRUE,0,PICK1,81539,+,BCR,14839203,+,WHOLE BLOOD
chr3,38199283,38199501,219,-,hg38,98,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr3-38199501,TRUE,OXSR1,+,FALSE,FALSE,0,MYD88,56478,+,None.found,Inf,None.found,WHOLE BLOOD
chr8,38347058,38347362,305,-,hg38,1,p304002,GTSP5833-2,GTSP5833,UNS,0,0,Illumina,chr8-38347362,TRUE,NSD3,-,FALSE,TRUE,0,NSD3,0,-,MYC,-89388070,+,WHOLE BLOOD
